,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_date,Year,Publisher,North America,Europe,Japan,Rest of World,Global
105,Marvel vs. Capcom: Infinite,77,16,5.2,59.0,T,"['Action', ' Fighting', ' 2D']","Sep 19, 2017",2017.0,Capcom,0.26,0.05,0.0,0.03,0.34
106,L.A. Noire,77,12,7.6,59.0,M,"['Action Adventure', ' Adventure', ' 3D', ' Open-World', ' Third-Person']","Nov 14, 2017",2017.0,Rockstar Games,0.14,0.09,0.0,0.02,0.25
107,Ziggurat,77,6,7.9,16.0,T,"['Action', ' Shooter', ' First-Person', ' Arcade']","Mar 20, 2015",2016.0,Soedesco,0.0,0.01,0.0,0.0,0.01
108,Portal Knights,77,7,6.7,12.0,E10+,"['Action', ' Role-Playing', ' General', ' Action RPG']","May 23, 2017",2017.0,505 Games,0.02,0.0,0.0,0.0,0.02
109,NHL 18,77,16,4.0,46.0,E10+,"['Sports', ' Team', ' Ice Hockey', ' Sim']","Sep 12, 2017",2017.0,EA Sports,0.32,0.03,0.0,0.04,0.39
110,Broken Sword 5: The Serpent's Curse,77,12,7.0,14.0,T,"['Adventure', ' General']","Sep 4, 2015",2015.0,Revolution Software,0.0,0.02,0.0,0.0,0.02
111,Peggle 2,77,39,7.1,216.0,E,"['Miscellaneous', ' Puzzle', ' Action', ' General', ' General']","Dec 9, 2013",,,0.0,0.0,0.0,0.0,0.0
112,The Banner Saga,76,9,7.9,33.0,T,"['Role-Playing', ' General', ' Strategy', ' Turn-Based', ' Tactics']","Jan 12, 2016",,,0.0,0.0,0.0,0.0,0.0
113,The Elder Scrolls Online: Morrowind,76,7,5.8,27.0,M,"['Role-Playing', ' Massively Multiplayer']","Jun 6, 2017",2017.0,Bethesda Softworks,0.09,0.03,0.0,0.01,0.14
114,Hyper Light Drifter,76,8,6.8,22.0,T,"['Role-Playing', ' Action RPG']","Jul 26, 2016",,,0.0,0.0,0.0,0.0,0.0
115,EA Sports UFC 2,76,42,5.6,90.0,T,"['Sports', ' General', ' Individual', ' Combat', ' Boxing / Martial Arts']","Mar 15, 2016",2016.0,EA Sports,0.36,0.19,0.0,0.06,0.61
116,Redout,76,10,7.9,27.0,E,"['Racing', ' General', ' Arcade', ' Futuristic']","Aug 29, 2017",2017.0,505 Games,0.02,0.0,0.0,0.0,0.02
117,Unravel,75,23,8.0,132.0,E,"['Action', ' Platformer', ' 2D']","Feb 9, 2016",,,0.0,0.0,0.0,0.0,0.0
118,Code Vein,75,14,7.6,95.0,M,"['Role-Playing', ' Action RPG']","Sep 27, 2019",2019.0,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0
119,Wolfenstein: The Old Blood,75,23,7.9,129.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']","May 5, 2015",2015.0,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15
120,Destiny,75,11,5.5,1760.0,T,"['Shooter', ' Sci-Fi', ' Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']","Sep 9, 2014",2014.0,Activision,2.17,0.92,0.0,0.32,3.41
121,Resident Evil: Revelations 2,75,22,7.8,151.0,M,"['Horror', ' Action Adventure', ' Survival']","Mar 17, 2015",2015.0,Capcom,0.1,0.02,0.0,0.01,0.14
122,Evolve,74,31,5.1,347.0,M,"['Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']","Feb 10, 2015",2015.0,2K Games,0.4,0.2,0.0,0.06,0.67
123,Gigantic,74,12,7.5,30.0,T,"['Strategy', ' Real-Time', ' MOBA']","Jul 20, 2017",,,0.0,0.0,0.0,0.0,0.0
124,LEGO Marvel Super Heroes 2,74,18,7.6,16.0,E10+,"['Action', ' Platformer', ' 3D']","Nov 14, 2017",2017.0,Warner Bros. Interactive Entertainment,0.32,0.2,0.0,0.05,0.57
125,Tachyon Project,74,11,6.9,8.0,E,"['Action', ' Shooter', "" Shoot-'Em-Up"", ' Top-Down']","Jul 15, 2015",,,0.0,0.0,0.0,0.0,0.0
126,Dying Light,74,26,7.8,435.0,M,"['Horror', ' Action Adventure', ' Horror', ' Survival']","Jan 27, 2015",2015.0,Warner Bros. Interactive Entertainment,1.01,0.31,0.01,0.14,1.47
127,Just Dance 2017,73,7,6.6,11.0,E10+,"['Action', ' Rhythm', ' Dancing']","Oct 25, 2016",2016.0,Ubisoft,0.25,0.05,0.0,0.03,0.34
128,MotoGP 17,73,5,6.6,5.0,E,"['Racing', ' Arcade', ' Automobile']","Jul 11, 2017",2017.0,Koch Media,0.04,0.02,0.0,0.01,0.06
129,Get Even,73,14,7.7,35.0,M,"['Modern', ' Action', ' Shooter', ' First-Person', ' Arcade']","Jun 23, 2017",2015.0,Unknown,0.0,0.0,0.0,0.0,0.0
130,Yooka-Laylee,73,39,5.5,122.0,E10+,"['Action', ' Platformer', ' 3D']","Apr 11, 2017",2017.0,Sold Out,0.05,0.04,0.0,0.01,0.1
131,Agents of Mayhem,73,18,6.5,52.0,M,"['Action Adventure', ' Open-World']","Aug 15, 2017",2017.0,Deep Silver,0.07,0.03,0.0,0.01,0.11
132,Lara Croft and the Temple of Osiris,72,31,5.9,53.0,T,"['Action', ' Action Adventure', ' Platformer', ' Linear', ' 2D']","Dec 9, 2014",2014.0,Square Enix,0.0,0.0,0.0,0.0,0.0
133,Dungeons 3,72,4,7.4,5.0,T,"['Strategy', ' General']","Oct 17, 2017",2017.0,Kalypso Media,0.02,0.0,0.0,0.0,0.02
134,NBA Live 18,72,16,5.3,47.0,E,"['Sports', ' Team', ' Basketball', ' Sim']","Sep 15, 2017",2017.0,EA Sports,0.18,0.0,0.0,0.02,0.21
135,WWE 2K16,72,18,5.3,88.0,T,"['Action', ' Sports', ' General', ' Individual', ' Combat', ' Wrestling']","Oct 27, 2015",2015.0,Take-Two Interactive,0.34,0.24,0.0,0.06,0.63
136,Mega Man Legacy Collection 2,72,4,9.7,35.0,E10+,"['Miscellaneous', ' Compilation']","Aug 8, 2017",2017.0,Capcom,0.02,0.0,0.0,0.0,0.02
137,Steep,72,18,6.5,64.0,T,"['Sports', ' Individual', ' Ski / Snowboard']","Dec 2, 2016",2016.0,Ubisoft,0.24,0.2,0.0,0.04,0.48
138,Sherlock Holmes: Crimes & Punishments,71,8,6.7,78.0,M,"['Adventure', ' General']","Sep 30, 2014",2014.0,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08
139,LEGO Marvel's Avengers,71,18,5.8,24.0,E10+,"['Action Adventure', ' General']","Jan 26, 2016",2016.0,Warner Bros. Interactive Entertainment,0.26,0.18,0.0,0.04,0.48
140,Just Cause 3,71,24,6.8,244.0,M,"['Sci-Fi', ' Action Adventure', ' Open-World']","Dec 1, 2015",2015.0,Square Enix,0.52,0.41,0.0,0.09,1.01
141,Pharaonic,71,4,7.6,7.0,T,"['Role-Playing', ' Action RPG']","Jul 13, 2016",2017.0,Soedesco,0.02,0.0,0.0,0.0,0.02
142,Just Dance 2014,71,6,7.0,58.0,E10+,"['Dancing', ' Action', ' Miscellaneous', ' Rhythm', ' Dancing']","Nov 19, 2013",2013.0,Ubisoft,0.31,0.12,0.0,0.04,0.48
143,Lords of the Fallen,71,13,6.6,176.0,M,"['Role-Playing', ' Action RPG', ' Action RPG']","Oct 28, 2014",2014.0,Square Enix,0.1,0.1,0.0,0.02,0.22
144,Xbox Fitness,71,4,5.9,82.0,E,"['Miscellaneous', ' Exercise / Fitness']","Nov 22, 2013",,,0.0,0.0,0.0,0.0,0.0
145,Oceanhorn: Monster of Uncharted Seas,71,11,7.5,26.0,E10+,"['Action Adventure', ' Open-World']","Sep 7, 2016",,,0.0,0.0,0.0,0.0,0.0
146,Knight Squad,71,9,6.8,24.0,T,"['Action', ' General']","Nov 16, 2015",,,0.0,0.0,0.0,0.0,0.0
147,ScreamRide,71,63,4.8,226.0,E10+,"['Simulation', ' General']","Mar 3, 2015",2015.0,Microsoft Studios,0.0,0.01,0.0,0.0,0.01
148,Blood Bowl 2,70,9,7.5,11.0,T,"['Sports', ' General', ' Team', ' Football', ' Arcade']","Sep 22, 2015",2015.0,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
149,WRC 7,70,11,7.1,10.0,E,"['Racing', ' Simulation', ' Automobile']","Sep 15, 2017",2017.0,Bigben Interactive,0.04,0.0,0.0,0.01,0.05
150,Just Dance 2015,70,17,7.4,21.0,E10+,"['Action', ' Miscellaneous', ' Rhythm', ' Dancing']","Oct 21, 2014",2014.0,Ubisoft,0.36,0.13,0.0,0.05,0.54
151,Stranger of Sword City,70,12,7.3,21.0,T,"['Role-Playing', ' General']","Mar 22, 2016",2016.0,Experience Inc.,0.0,0.0,0.0,0.0,0.0
152,EA Sports UFC,70,23,6.2,162.0,T,"['General', ' Sports', ' General', ' Individual', ' Combat', ' Boxing / Martial Arts']","Jun 17, 2014",2014.0,Electronic Arts,0.3,0.13,0.0,0.04,0.48
153,Tembo the Badass Elephant,70,13,7.0,28.0,E10+,"['Action Adventure', ' General']","Jul 21, 2015",,,0.0,0.0,0.0,0.0,0.0
154,Duke Nukem 3D: 20th Anniversary World Tour,70,4,6.7,6.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']","Oct 11, 2016",2016.0,Gearbox Software,0.08,0.0,0.0,0.01,0.09
155,Fe,70,29,7.1,28.0,E,"['Action', ' General']","Feb 16, 2018",,,0.0,0.0,0.0,0.0,0.0
156,ARK: Survival Evolved,69,6,5.0,42.0,T,"['Action Adventure', ' Survival', ' Sandbox']","Aug 29, 2017",2017.0,Studio Wildcard,0.3,0.12,0.0,0.04,0.46
157,Fruit Ninja Kinect 2,69,11,7.1,11.0,E,"['General', ' Action', ' Arcade']","Mar 18, 2015",,,0.0,0.0,0.0,0.0,0.0
158,LEGO The Hobbit,69,20,6.9,39.0,E10+,"['Historic', ' Action Adventure', ' General', ' Fantasy']","Apr 8, 2014",2014.0,Warner Bros. Interactive Entertainment,0.13,0.13,0.0,0.02,0.27
159,Sea of Thieves,69,71,5.0,1890.0,T,"['Role-Playing', ' Massively Multiplayer']","Mar 20, 2018",2018.0,Microsoft Studios,0.6,0.27,0.0,0.09,0.96
160,The Crew 2,69,37,5.0,73.0,T,"['Racing', ' Simulation', ' Automobile']","Jun 26, 2018",2018.0,Ubisoft,0.2,0.1,0.0,0.03,0.33
161,LEGO Worlds,69,20,6.6,34.0,E10+,"['Action Adventure', ' Sandbox']","Mar 7, 2017",2017.0,Warner Bros. Interactive Entertainment,0.28,0.35,0.0,0.05,0.69
162,Darksiders III,69,19,7.1,124.0,M,"['Action Adventure', ' Open-World']","Nov 27, 2018",2018.0,THQ Nordic,0.11,0.0,0.0,0.01,0.12
163,Monster Energy Supercross - The Official Videogame,69,8,7.6,13.0,E,"['Racing', ' Arcade', ' Automobile']","Feb 13, 2018",2018.0,Milestone S.r.l.,0.08,0.0,0.0,0.01,0.08
164,WWE 2K17,68,12,4.8,44.0,T,"['Sports', ' Individual', ' Combat', ' Wrestling']","Oct 11, 2016",2016.0,2K Games,0.26,0.26,0.0,0.05,0.57
165,The Technomancer,68,12,7.1,68.0,M,"['Role-Playing', ' General', ' Western-Style']","Jun 28, 2016",2016.0,Focus Home Interactive,0.03,0.02,0.0,0.0,0.05
166,Kung Fu Panda: Showdown of Legendary Legends,68,4,4.9,14.0,E10+,"['Action', ' Action Adventure', ' General', ' Fighting', ' 2D']","Dec 1, 2015",2015.0,Little Orbit,0.0,0.0,0.0,0.0,0.0
167,Baja: Edge of Control HD,67,6,,,E,"['Racing', ' Simulation', ' Automobile']","Sep 14, 2017",2017.0,THQ Nordic,0.05,0.0,0.0,0.01,0.05
168,Assassin's Creed Chronicles: China,67,31,5.8,110.0,T,"['Historic', ' Action Adventure', ' General', ' Linear']","Apr 21, 2015",2015.0,Ubisoft,0.0,0.0,0.0,0.0,0.0
169,Marvel's Guardians of the Galaxy: The Telltale Series,67,4,7.1,12.0,T,"['Action', ' Adventure', ' General', ' 3D', ' Third-Person']","Apr 18, 2017",2017.0,Warner Bros. Interactive Entertainment,0.05,0.0,0.0,0.01,0.05
170,Disneyland Adventures,67,9,5.7,20.0,E10+,"['Action Adventure', ' General']","Oct 31, 2017",2017.0,Microsoft Studios,0.05,0.01,0.0,0.01,0.07
171,Monochroma,66,11,,,T,"['Action', ' Platformer', ' 2D']","Jun 24, 2016",2014.0,Unknown,0.0,0.0,0.0,0.0,0.0
172,A Boy and His Blob,66,4,,,E,"['Action', ' Platformer', ' 2D']","Jan 20, 2016",,,0.0,0.0,0.0,0.0,0.0
173,Neverwinter,66,14,5.0,161.0,T,"['Role-Playing', ' Massively Multiplayer Online', ' Massively Multiplayer', ' Fantasy']","Mar 31, 2015",,,0.0,0.0,0.0,0.0,0.0
174,Cobalt,66,13,7.3,19.0,E10+,"['Action', ' Platformer', ' Platformer', ' 2D', ' 2D']","Feb 2, 2016",,,0.0,0.0,0.0,0.0,0.0
175,FlatOut 4: Total Insanity,66,15,5.9,20.0,T,"['Racing', ' Arcade', ' Automobile']","Mar 17, 2017",2017.0,Bigben Interactive,0.01,0.0,0.0,0.0,0.01
176,Never Alone,66,14,6.7,39.0,E10+,"['Action', ' Platformer', ' 2D']","Nov 19, 2014",,,0.0,0.0,0.0,0.0,0.0
177,Just Dance 2016,66,10,6.1,18.0,E10+,"['Action', ' Rhythm', ' Dancing']","Oct 20, 2015",2015.0,Ubisoft,0.3,0.04,0.0,0.04,0.38
178,Sherlock Holmes: The Devil's Daughter,66,12,7.2,45.0,T,"['Adventure', ' General']","Jun 10, 2016",2016.0,Bigben Interactive,0.05,0.0,0.0,0.01,0.06
179,Agatha Christie's The ABC Murders,66,7,6.6,10.0,T,"['Adventure', ' 3D', ' Third-Person']","Feb 23, 2016",2016.0,Microids,0.04,0.0,0.0,0.01,0.05
180,Ride 2,66,7,7.4,13.0,E,"['Racing', ' Simulation', ' Automobile']","Feb 14, 2017",2016.0,Milestone S.r.l,0.06,0.01,0.0,0.01,0.08
181,Anthem,65,24,3.9,669.0,T,"['Role-Playing', ' Action RPG']","Feb 22, 2019",2019.0,Electronic Arts,0.0,0.0,0.0,0.0,0.0
182,Battle Worlds: Kronos,65,4,5.3,4.0,E10+,"['Strategy', ' Turn-Based', ' General']","Apr 26, 2016",2016.0,Nordic Games,0.01,0.0,0.0,0.0,0.01
183,Powerstar Golf,65,27,5.6,133.0,E,"['Arcade', ' Sports', ' Traditional', ' Individual', ' Golf', ' Arcade']","Nov 22, 2013",,,0.0,0.0,0.0,0.0,0.0
184,The Crew: Wild Run,65,5,6.3,22.0,T,"['Racing', ' Simulation', ' Automobile']","Nov 17, 2015",2015.0,Ubisoft,0.0,0.02,0.0,0.0,0.02
185,The Escapists: The Walking Dead,65,19,7.3,6.0,T,"['Action', ' General']","Sep 30, 2015",2015.0,Team17 Software,0.0,0.0,0.0,0.0,0.0
186,F1 2015,64,13,6.2,26.0,E,"['Racing', ' Simulation', ' Automobile']","Jul 21, 2015",2015.0,Codemasters,0.09,0.15,0.0,0.02,0.25
187,The Golf Club,64,15,5.3,63.0,E,"['Traditional', ' Sports', ' Individual', ' Golf', ' Sim']","Aug 19, 2014",2015.0,Ravenscourt,0.07,0.0,0.0,0.01,0.07
188,Assassin's Creed Chronicles: India,64,20,5.1,44.0,T,"['Action Adventure', ' Linear']","Jan 12, 2016",,,0.0,0.0,0.0,0.0,0.0
189,Kaiju Panic,64,4,,,E10+,"['Strategy', ' Real-Time', ' Command']","Oct 9, 2015",,,0.0,0.0,0.0,0.0,0.0
190,We Happy Few,64,17,5.5,72.0,M,"['Action Adventure', ' General']","Aug 10, 2018",2018.0,Gearbox Software,0.07,0.01,0.0,0.01,0.09
191,The Crew,64,18,5.8,190.0,T,"['GT / Street', ' Driving', ' Racing', ' Simulation', ' GT / Street', ' Automobile']","Dec 2, 2014",2014.0,Ubisoft,0.32,0.34,0.0,0.06,0.71
192,Resident Evil 6,63,12,6.9,96.0,M,"['Action Adventure', ' Survival']","Mar 29, 2016",2016.0,Capcom,0.06,0.0,0.0,0.01,0.07
193,ReCore,63,75,6.7,582.0,T,"['Action Adventure', ' General']","Sep 13, 2016",2016.0,Microsoft Studios,0.16,0.06,0.01,0.02,0.26
194,Assetto Corsa,63,10,6.5,33.0,E,"['Racing', ' Simulation', ' Automobile']","Aug 30, 2016",2016.0,505 Games,0.0,0.01,0.0,0.0,0.02
195,Shiftlings,63,10,5.8,4.0,T,"['Action', ' Platformer', ' 2D']","Mar 4, 2015",,,0.0,0.0,0.0,0.0,0.0
196,Sonic Forces,62,12,7.1,205.0,E10+,"['Action Adventure', ' General']","Nov 7, 2017",2017.0,Sega,0.15,0.11,0.0,0.03,0.29
197,Assassin's Creed Chronicles: Russia,62,24,4.5,36.0,T,"['Action Adventure', ' Linear']","Feb 9, 2016",,,0.0,0.0,0.0,0.0,0.0
198,Inside My Radio,62,5,,,E10+,"['Action', ' Platformer', ' 2D']","Sep 18, 2015",,,0.0,0.0,0.0,0.0,0.0
199,Elex,62,8,6.4,523.0,M,"['Role-Playing', ' Western-Style']","Oct 17, 2017",2017.0,THQ Nordic,0.04,0.0,0.0,0.0,0.04
200,Kinect Sports Rivals,60,53,5.0,146.0,E10+,"['General', ' Sports', ' General']","Apr 8, 2014",2014.0,Microsoft Studios,0.3,0.25,0.02,0.05,0.62
201,Rory McIlroy PGA Tour,60,26,4.2,75.0,E,"['Traditional', ' Sports', ' Individual', ' Golf', ' Sim']","Jul 14, 2015",2015.0,Electronic Arts,0.16,0.09,0.0,0.02,0.28
202,The Peanuts Movie: Snoopy's Grand Adventure,60,9,5.0,4.0,E,"['Action', ' Platformer', ' 2D']","Nov 3, 2015",2015.0,Activision,0.0,0.0,0.0,0.0,0.0
203,The Town of Light,60,13,6.6,17.0,M,"['Adventure', ' 3D', ' First-Person']","Jun 6, 2017",2017.0,THQ Nordic,0.01,0.0,0.0,0.0,0.01
204,NBA Live 16,60,17,5.6,70.0,E,"['Sports', ' Team', ' Basketball', ' Sim']","Sep 29, 2015",2015.0,EA Sports,0.11,0.01,0.0,0.01,0.13
205,Gunscape,60,4,,,T,"['Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']","Mar 2, 2016",,,0.0,0.0,0.0,0.0,0.0
206,Beyond Eyes,60,24,5.6,28.0,E,"['Action Adventure', ' General']","Aug 4, 2015",,,0.0,0.0,0.0,0.0,0.0
207,Crackdown 3,60,82,4.2,938.0,M,"['Action', ' Sci-Fi', ' Third-Person', ' Shooter', ' Action Adventure', ' Open-World']","Feb 15, 2019",2019.0,Microsoft Studios,0.0,0.0,0.0,0.0,0.0
208,Naruto to Boruto: Shinobi Striker,60,7,5.7,15.0,T,"['Action', ' Fighting', ' 3D']","Aug 31, 2018",2018.0,Bandai Namco Games,0.17,0.0,0.0,0.02,0.19
209,Cars 3: Driven to Win,59,9,7.0,5.0,E10+,"['Racing', ' Arcade', ' Automobile']","Jun 13, 2017",2017.0,Warner Bros. Interactive Entertainment,0.04,0.0,0.0,0.01,0.05
210,Tetris Ultimate,59,8,4.2,13.0,E,"['Miscellaneous', ' Puzzle', ' Stacking']","Dec 16, 2014",2014.0,Ubisoft,0.0,0.0,0.0,0.0,0.0
211,NHL 15,59,22,3.2,181.0,E10+,"['Sports', ' Traditional', ' Team', ' Ice Hockey', ' Sim']","Sep 9, 2014",2014.0,EA Sports,0.32,0.06,0.0,0.04,0.42
212,Slender: The Arrival,59,6,6.9,19.0,T,"['Adventure', ' 3D', ' First-Person']","Mar 25, 2015",2015.0,Unknown,0.0,0.0,0.0,0.0,0.0
213,Moto Racer 4,59,6,4.4,5.0,E,"['Racing', ' Arcade', ' Other']","Jan 24, 2017",2016.0,PQube,0.02,0.0,0.0,0.0,0.02
214,Dead by Daylight,58,10,6.0,53.0,M,"['Action Adventure', ' Survival']","Jun 20, 2017",2017.0,505 Games,0.08,0.03,0.0,0.01,0.12
215,Shape Up,58,6,7.6,33.0,E,"['Miscellaneous', ' Exercise / Fitness']","Nov 11, 2014",2014.0,Ubisoft,0.08,0.09,0.0,0.01,0.18
216,The Dwarves,58,13,3.9,21.0,M,"['Role-Playing', ' General']","Dec 1, 2016",2016.0,THQ Nordic,0.02,0.0,0.0,0.0,0.02
217,Black Mirror,57,10,2.9,9.0,M,"['Adventure', ' 3D', ' Third-Person']","Nov 28, 2017",2017.0,THQ Nordic,0.03,0.0,0.0,0.0,0.03
