,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_date,Year,Publisher,North America,Europe,Japan,Rest of World,Global
218,Sniper: Ghost Warrior 3,57,12,6.4,102.0,M,"['Action', ' Shooter', ' First-Person', ' Tactical', ' Modern']","Apr 25, 2017",2017.0,City Interactive,0.11,0.05,0.0,0.02,0.18
219,WWE 2K15,56,25,5.3,68.0,T,"['Action', ' Sports', ' Fighting', ' Individual', ' Combat', ' Wrestling']","Nov 18, 2014",2014.0,2K Sports,0.32,0.23,0.0,0.05,0.61
220,Crimson Dragon,55,39,6.5,257.0,T,"['Shooter', ' Rail', ' Action', ' Shooter', ' Rail']","Nov 22, 2013",,,0.0,0.0,0.0,0.0,0.0
221,Teenage Mutant Ninja Turtles: Mutants in Manhattan,55,14,5.9,42.0,T,"['Action', "" Beat-'Em-Up"", ' 3D']","May 24, 2016",2016.0,Activision,0.05,0.01,0.0,0.01,0.07
222,FORCED,54,4,,,T,"['Role-Playing', ' Action RPG']","Oct 21, 2015",,,0.0,0.0,0.0,0.0,0.0
223,Goat Simulator,53,15,6.3,72.0,T,"['Simulation', ' General']","Apr 17, 2015",2016.0,Koch Media,0.0,0.01,0.0,0.0,0.01
224,Friday the 13th: The Game,53,9,5.7,71.0,M,"['Action Adventure', ' Survival']","May 26, 2017",2017.0,Gun Media,0.21,0.03,0.0,0.03,0.27
225,Halo: Spartan Assault,53,28,4.5,267.0,T,"['Action', ' General', ' Shooter', ' Scrolling', "" Shoot-'Em-Up"", ' Top-Down', ' Vertical']","Dec 23, 2013",,,0.0,0.0,0.0,0.0,0.0
226,Extinction,52,18,1.7,27.0,M,"['Action Adventure', ' General']","Apr 10, 2018",2018.0,Maximum Games,0.04,0.0,0.0,0.01,0.05
227,Carmageddon: Max Damage,52,15,7.2,23.0,M,"['Racing', ' Arcade', ' Automobile']","Jul 5, 2016",2016.0,Stainless Games,0.02,0.01,0.0,0.0,0.03
228,No Time to Explain,52,9,5.3,9.0,T,"['Action', ' Platformer', ' 2D']","Jul 17, 2015",,,0.0,0.0,0.0,0.0,0.0
229,Murdered: Soul Suspect,51,17,7.1,155.0,M,"['Action', ' Action Adventure', ' General', ' Horror', ' Survival']","Jun 3, 2014",2014.0,Square Enix,0.08,0.07,0.0,0.01,0.17
230,AereA,50,7,4.0,4.0,E10+,"['Role-Playing', ' Action RPG']","Jun 30, 2017",2017.0,Soedesco,0.0,0.0,0.0,0.0,0.0
231,Homefront: The Revolution,49,12,4.4,136.0,M,"['Modern', ' Action', ' Shooter', ' First-Person', ' Arcade']","May 17, 2016",2016.0,Deep Silver,0.1,0.09,0.0,0.02,0.21
232,LocoCycle,48,46,4.0,100.0,T,"['Driving', ' Racing', ' General', ' General', ' Arcade', ' Automobile']","Nov 22, 2013",,,0.0,0.0,0.0,0.0,0.0
233,Bladestorm: Nightmare,48,6,6.9,9.0,T,"['Action', "" Beat-'Em-Up"", ' 3D']","Mar 17, 2015",2015.0,Tecmo Koei,0.06,0.02,0.0,0.01,0.08
234,The Amazing Spider-Man 2,46,12,4.7,62.0,T,"['Action', ' Action Adventure', ' General', ' General', ' Open-World']","Apr 29, 2014",2014.0,Activision,0.0,0.0,0.0,0.0,0.0
235,Raid: World War II,46,7,5.6,8.0,M,"['Action Adventure', ' General']","Oct 10, 2017",2017.0,505 Games,0.03,0.0,0.0,0.0,0.03
236,R.B.I. Baseball 15,46,4,4.6,22.0,E,"['Sports', ' Team', ' Baseball', ' Arcade']","Apr 1, 2015",2015.0,MLB.com,0.0,0.0,0.0,0.0,0.0
237,Dead Alliance,43,7,3.4,5.0,M,"['Action', ' General', ' Shooter', ' First-Person', ' Tactical']","Aug 29, 2017",2017.0,Maximum Games,0.03,0.0,0.0,0.0,0.04
238,Funk of Titans,43,22,4.3,39.0,T,"['Action', ' Platformer', ' 2D']","Jan 9, 2015",,,0.0,0.0,0.0,0.0,0.0
239,Hello Neighbor,42,13,4.4,67.0,E10+,"['Action', ' Adventure', ' General', ' 3D', ' First-Person']","Dec 8, 2017",2017.0,Gearbox Software,0.27,0.11,0.0,0.04,0.42
240,Tony Hawk's Pro Skater 5,39,18,2.1,132.0,T,"['Sports', ' Individual', ' Skate / Skateboard']","Sep 29, 2015",2015.0,Activision,0.11,0.02,0.0,0.01,0.14
241,Overlord: Fellowship of Evil,36,6,3.6,8.0,T,"['Role-Playing', ' Action RPG']","Oct 20, 2015",,,0.0,0.0,0.0,0.0,0.0
242,7 Days to Die,35,17,5.4,101.0,M,"['Action', ' Action Adventure', ' Shooter', ' Survival', ' Sandbox', ' First-Person', ' Arcade']","Jun 28, 2016",2016.0,Telltale Games,0.09,0.02,0.0,0.01,0.12
243,Troll and I,33,5,5.0,6.0,T,"['Action Adventure', ' General']","Mar 21, 2017",2017.0,Maximum Games,0.02,0.0,0.0,0.0,0.02
244,Alekhine's Gun,33,6,2.5,28.0,M,"['Action Adventure', ' General']","Mar 1, 2016",2016.0,Maximum Games,0.0,0.0,0.0,0.0,0.0
245,Road Rage,33,6,3.3,7.0,M,"['Simulation', ' Vehicle', ' Combat']","Nov 14, 2017",2017.0,Maximum Games,0.04,0.0,0.0,0.0,0.04
246,Fighter Within,23,39,2.8,211.0,T,"['Sports', ' General', ' General']","Nov 19, 2013",2013.0,Ubisoft,0.08,0.07,0.0,0.01,0.17
247,Rugby 15,20,4,2.9,32.0,E,"['Alternative', ' Sports', ' Team', ' Rugby']","Feb 24, 2015",2015.0,Bigben Interactive,0.03,0.05,0.0,0.01,0.09
248,Monster Hunter: World,90,17,7.1,402.0,T,"['Role-Playing', ' Action RPG']","Jan 26, 2018",2018.0,Capcom,0.67,0.17,0.0,0.09,0.93
249,Battlefield 1,87,39,7.6,666.0,M,"['Action', ' General', ' Shooter', ' First-Person', ' Tactical']","Oct 18, 2016",2016.0,Electronic Arts,3.37,1.26,0.02,0.48,5.13
250,Forza Motorsport 6,87,85,7.8,854.0,E,"['Driving', ' GT / Street', ' Racing', ' Simulation', ' Automobile']","Sep 15, 2015",2015.0,Microsoft Studios,0.9,0.92,0.04,0.16,2.02
251,XCOM 2,87,17,7.6,91.0,T,"['Strategy', ' Turn-Based', ' General', ' Tactics']","Sep 27, 2016",2016.0,2K Games,0.15,0.02,0.0,0.02,0.19
252,Mortal Kombat X,86,21,7.5,341.0,M,"['Action', ' Fighting', ' 2D', ' 3D']","Apr 14, 2015",2015.0,Warner Bros. Interactive Entertainment,1.34,0.23,0.0,0.18,1.74
253,Pinball FX 2,85,5,7.0,41.0,E10+,"['Action', ' Miscellaneous', ' Parlor', ' Pinball']","Aug 14, 2014",,,0.0,0.0,0.0,0.0,0.0
254,Halo: The Master Chief Collection,85,69,7.5,1479.0,M,"['Miscellaneous', ' Compilation', ' Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']","Nov 11, 2014",2014.0,Microsoft Studios,2.06,1.04,0.03,0.31,3.44
255,Fortnite,85,5,3.5,228.0,T,"['Action', ' Shooter', ' Third-Person', ' Tactical']","Jul 21, 2017",2017.0,Gearbox Software,0.6,0.09,0.0,0.08,0.77
256,South Park: The Fractured But Whole,84,31,7.9,115.0,M,"['Role-Playing', ' General']","Oct 17, 2017",2017.0,Ubisoft,0.4,0.17,0.0,0.06,0.62
257,FIFA 17,84,51,5.1,271.0,E,"['Sports', ' Team', ' Soccer', ' Sim']","Sep 27, 2016",2016.0,Electronic Arts,1.04,2.4,0.0,0.27,3.71
258,Madden NFL 16,84,23,6.0,127.0,E,"['Sports', ' Team', ' Football', ' Sim']","Aug 25, 2015",2015.0,EA Sports,2.13,0.08,0.0,0.26,2.47
259,Little Nightmares,83,22,7.8,56.0,T,"['Action Adventure', ' General', ' Linear']","Apr 28, 2017",2017.0,Namco Bandai Games,0.12,0.03,0.0,0.02,0.16
260,Metro Exodus,82,32,6.8,563.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']","Feb 15, 2019",2019.0,Deep Silver,0.0,0.0,0.0,0.0,0.0
261,Far Cry 4,82,15,7.6,448.0,M,"['Action', ' Shooter', ' First-Person', ' Modern', ' Arcade']","Nov 18, 2014",2014.0,Ubisoft,0.85,0.68,0.02,0.14,1.68
262,Bulletstorm: Full Clip Edition,82,13,7.2,29.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']","Apr 7, 2017",2017.0,Gearbox Software,0.06,0.01,0.0,0.01,0.08
263,Mega Man Legacy Collection,80,30,8.4,74.0,E,"['Miscellaneous', ' Compilation']","Aug 25, 2015",2016.0,Capcom,0.0,0.0,0.0,0.0,0.0
264,Rock Band 4,79,27,6.5,56.0,T,"['Action', ' Rhythm', ' Music']","Oct 6, 2015",2015.0,Harmonix Music Systems,0.62,0.05,0.0,0.08,0.75
265,Torment: Tides of Numenera,79,12,6.9,39.0,M,"['General', ' Role-Playing', ' Western-Style']","Feb 28, 2017",2017.0,Techland,0.01,0.0,0.0,0.0,0.01
266,Resident Evil: Revelations,78,6,8.5,46.0,M,"['Action Adventure', ' Survival']","Aug 29, 2017",2017.0,Capcom,0.02,0.0,0.0,0.0,0.02
267,Quantum Break,77,106,7.1,1954.0,M,"['General', ' Action', ' General']","Apr 5, 2016",2016.0,Microsoft Studios,0.42,0.25,0.02,0.07,0.76
268,Wulverblade,77,12,7.4,9.0,M,"['Action', "" Beat-'Em-Up"", ' 2D']","Jan 31, 2018",,,0.0,0.0,0.0,0.0,0.0
269,Plants vs Zombies: Garden Warfare,76,65,7.5,448.0,E10+,"['General', ' Action', ' General', ' Shooter', ' Third-Person', ' Tactical']","Feb 25, 2014",2014.0,Electronic Arts,0.39,0.25,0.0,0.06,0.71
270,Mass Effect: Andromeda,76,35,5.0,1061.0,M,"['Role-Playing', ' Action RPG']","Mar 21, 2017",2017.0,Electronic Arts,0.5,0.2,0.0,0.07,0.78
271,Raiden V,75,13,7.8,10.0,E,"['Action', ' Shooter', "" Shoot-'Em-Up"", ' Vertical']","May 11, 2016",2016.0,Moss,0.0,0.0,0.0,0.0,0.0
272,Transformers: Devastation,75,25,7.5,66.0,T,"['Action', "" Beat-'Em-Up"", ' 3D']","Oct 6, 2015",2015.0,Activision,0.1,0.04,0.0,0.01,0.15
273,The Escapists,74,31,6.7,32.0,T,"['Action', ' General']","Feb 13, 2015",,,0.0,0.0,0.0,0.0,0.0
274,Attack on Titan 2,74,10,6.5,15.0,M,"['Action', ' General']","Mar 20, 2018",2018.0,Koei Tecmo,0.08,0.0,0.0,0.01,0.09
275,Chariot,73,14,7.5,60.0,E,"['Action', ' Platformer', ' 2D']","Oct 1, 2014",,,0.0,0.0,0.0,0.0,0.0
276,Pure Farming 2018,73,9,7.0,5.0,E,"['Simulation', ' Virtual', ' Career']","Mar 13, 2018",2018.0,Techland,0.03,0.0,0.0,0.0,0.03
277,Killer Instinct,73,51,6.3,641.0,T,"['Action', ' Fighting', ' Fighting', ' 3D', ' 2D', ' 3D']","Nov 22, 2013",2020.0,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0
278,Madden NFL 25,73,18,5.8,113.0,E,"['Sports', ' Traditional', ' Team', ' Football', ' Arcade', ' Arcade', ' Sim']","Nov 19, 2013",2013.0,EA Sports,0.69,0.06,0.0,0.09,0.83
279,Sword Art Online: Fatal Bullet,72,8,7.3,32.0,T,"['Action', ' Shooter', ' Third-Person', ' Arcade']","Feb 23, 2018",2018.0,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1
280,Battleborn,71,20,7.1,179.0,T,"['Sci-Fi', ' Action', ' Shooter', ' First-Person', ' Tactical', ' Arcade']","May 3, 2016",2016.0,2K Games,0.2,0.05,0.0,0.03,0.28
281,Worms Battlegrounds,70,12,6.2,39.0,E10+,"['Strategy', ' Turn-Based', ' Wargame', ' Artillery']","May 30, 2014",,,0.0,0.0,0.0,0.0,0.0
282,Below,70,30,5.4,63.0,T,"['General', ' Action', ' General']","Dec 14, 2018",,,0.0,0.0,0.0,0.0,0.0
283,Vampyr,70,16,6.7,131.0,M,"['Role-Playing', ' General', ' Action RPG']","Jun 5, 2018",2018.0,Focus Home Interactive,0.07,0.04,0.0,0.01,0.12
284,Lock's Quest,69,5,,,E10+,"['Strategy', ' Real-Time', ' Defense']","May 30, 2017",2017.0,THQ Nordic,0.01,0.0,0.0,0.0,0.02
285,Kingdom Come: Deliverance,68,18,7.6,275.0,M,"['Historic', ' Role-Playing', ' Action Adventure', ' General', ' Action RPG']","Feb 13, 2018",2018.0,Deep Silver,0.14,0.06,0.0,0.02,0.22
286,Pure Pool,68,7,6.9,8.0,E,"['Alternative', ' Other', ' Sports', ' Miscellaneous', ' Parlor', ' Individual', ' Billiards']","Nov 14, 2014",,,0.0,0.0,0.0,0.0,0.0
287,WWE 2K18,67,15,4.4,37.0,T,"['Sports', ' Individual', ' Combat', ' Wrestling']","Oct 13, 2017",2017.0,2K Sports,0.35,0.25,0.0,0.06,0.66
288,Shiness: The Lightning Kingdom,67,8,7.4,8.0,T,"['Role-Playing', ' Action RPG']","Apr 18, 2017",,,0.0,0.0,0.0,0.0,0.0
289,Mafia III,67,21,4.8,365.0,M,"['Action Adventure', ' Open-World']","Oct 7, 2016",2016.0,2K Games,0.54,0.48,0.0,0.09,1.11
290,Outcast: Second Contact,67,7,7.4,5.0,T,"['Action Adventure', ' Adventure', ' General', ' Open-World']","Nov 7, 2017",2017.0,Bigben Interactive,0.0,0.0,0.0,0.0,0.0
291,The Sims 4,66,19,3.1,54.0,T,"['Simulation', ' Virtual', ' Virtual Life']","Nov 17, 2017",2017.0,Electronic Arts,0.42,0.24,0.0,0.07,0.73
292,Farming Simulator 17,65,9,7.0,7.0,E,"['Simulation', ' Virtual', ' Career']","Oct 25, 2016",2016.0,Focus Home Interactive,0.19,0.11,0.0,0.03,0.33
293,Costume Quest 2,65,5,6.3,22.0,E10+,"['Role-Playing', ' Action RPG', ' Japanese-Style']","Oct 29, 2014",,,0.0,0.0,0.0,0.0,0.0
294,Vikings: Wolves of Midgard,64,7,7.5,13.0,M,"['Role-Playing', ' Action RPG']","Mar 28, 2017",2017.0,Kalypso Media,0.01,0.0,0.0,0.0,0.02
295,Super Lucky's Tale,64,51,7.0,169.0,E,"['2D', ' Action', ' Platformer', ' 3D']","Nov 7, 2017",2017.0,Microsoft Studios,0.13,0.07,0.0,0.02,0.22
296,Zombie Army Trilogy,62,10,6.9,48.0,M,"['Action', ' Shooter', ' Third-Person', ' Arcade']","Mar 6, 2015",2015.0,Rebellion Developments,0.05,0.05,0.0,0.01,0.12
297,Metal Gear Survive,62,14,1.9,195.0,M,"['Action Adventure', ' General']","Feb 20, 2018",2018.0,Konami Digital Entertainment,0.05,0.01,0.0,0.01,0.08
298,One Piece: Burning Blood,60,10,6.4,16.0,T,"['Action', ' Fighting', ' 3D']","May 31, 2016",2016.0,Namco Bandai Games,0.11,0.07,0.0,0.02,0.19
299,NASCAR Heat 2,59,4,,,E,"['Racing', ' Simulation', ' Automobile']","Sep 12, 2017",2017.0,505 Games,0.11,0.0,0.0,0.01,0.12
300,Rugby 18,56,6,6.6,5.0,E,"['Sports', ' Team', ' Rugby']","Oct 24, 2017",2017.0,Koch Media,0.04,0.0,0.0,0.01,0.05
301,Mighty No. 9,55,13,4.1,105.0,E10+,"['Platformer', ' 2D', ' Action', ' Platformer', ' 2D']","Jun 21, 2016",2016.0,Deep Silver,0.04,0.0,0.0,0.01,0.05
302,NBA Live 15,53,9,6.8,52.0,E,"['Sports', ' Traditional', ' Team', ' Basketball', ' Arcade']","Oct 28, 2014",2014.0,Electronic Arts,0.18,0.02,0.0,0.02,0.22
303,Super Dungeon Bros,53,11,2.1,16.0,E10+,"['Action', ' General']","Nov 1, 2016",2016.0,Wired Productions,0.0,0.0,0.0,0.0,0.0
304,Blue Estate,51,4,7.4,19.0,M,"['Action', ' Shooter', ' Light Gun', ' Rail']","Feb 18, 2015",2014.0,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
305,De-formers,49,7,,,E10+,"['Action', ' Arcade']","Mar 24, 2017",,,0.0,0.0,0.0,0.0,0.0
306,Grand Theft Auto V,97,14,7.8,1087.0,M,"['Action Adventure', ' Modern', ' Open-World']","Nov 18, 2014",2014.0,Rockstar Games,4.7,3.25,0.01,0.76,8.72
307,Forza Horizon 3,91,91,8.0,1052.0,E,"['Racing', ' Simulation', ' Automobile']","Sep 23, 2016",2016.0,Microsoft Studios,1.64,1.96,0.02,0.32,3.93
308,Destiny: The Taken King,89,11,5.2,415.0,T,"['Action', ' Shooter', ' First-Person', ' Arcade']","Sep 15, 2015",2015.0,Activision,0.91,0.23,0.0,0.12,1.27
309,Wolfenstein II: The New Colossus,88,21,6.4,390.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']","Oct 27, 2017",2017.0,Bethesda Softworks,0.45,0.19,0.0,0.07,0.7
310,Dark Souls III,87,14,8.6,649.0,M,"['Role-Playing', ' Action RPG']","Apr 12, 2016",2016.0,Namco Bandai Games,0.56,0.15,0.0,0.08,0.79
311,Rocket League,87,22,8.1,275.0,E,"['Sports', ' Team', ' Soccer', ' Arcade']","Feb 17, 2016",2016.0,505 Games,0.52,0.75,0.0,0.11,1.38
312,Titanfall 2,87,32,8.3,458.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']","Oct 28, 2016",2016.0,Electronic Arts,0.88,0.37,0.0,0.13,1.37
313,NBA 2K16,86,14,6.1,120.0,E10+,"['Action', ' General', ' Sports', ' Team', ' Basketball', ' Sim']","Sep 25, 2015",2015.0,2K Sports,2.01,0.15,0.0,0.25,2.41
314,FIFA 15,82,33,5.4,359.0,E,"['Sports', ' Traditional', ' Team', ' Soccer', ' Sim']","Sep 23, 2014",2014.0,EA Sports,0.64,1.39,0.0,0.16,2.19
315,Darksiders: Warmastered Edition,80,17,8.1,37.0,M,"['Action Adventure', ' Open-World']","Nov 22, 2016",2016.0,THQ Nordic,0.04,0.0,0.0,0.0,0.04
316,Kingdom Hearts III,80,23,8.3,547.0,E10+,"['Action RPG', ' Action Adventure', ' Fantasy', ' Role-Playing', ' Action RPG']","Jan 29, 2019",2019.0,Square Enix,0.0,0.0,0.0,0.0,0.0
317,Ultimate Marvel vs. Capcom 3,78,5,7.9,15.0,T,"['Action', ' Fighting', ' 2D']","Mar 7, 2017",2017.0,Capcom,0.12,0.0,0.0,0.01,0.14
318,Dragon Ball: Xenoverse 2,73,9,7.1,50.0,T,"['Action', ' Fighting', ' 3D']","Oct 25, 2016",2016.0,Namco Bandai Games,0.33,0.09,0.0,0.05,0.47
319,Dead Rising 4,72,86,4.7,359.0,M,"['Action Adventure', ' Open-World']","Dec 6, 2016",2016.0,Microsoft Studios,0.41,0.25,0.0,0.06,0.73
320,LEGO Jurassic World,70,17,6.7,51.0,E10+,"['Action Adventure', ' General']","Jun 12, 2015",2015.0,Warner Bros. Interactive Entertainment,0.44,0.27,0.0,0.07,0.78
321,The LEGO Movie Videogame,69,18,6.8,57.0,E10+,"['Action Adventure', ' Fantasy', ' General', ' Fantasy']","Feb 7, 2014",2014.0,Warner Bros. Interactive Entertainment,0.42,0.17,0.0,0.06,0.65
322,Song of the Deep,66,12,7.2,26.0,E,"['Action Adventure', ' General']","Jul 12, 2016",2016.0,Insomniac Games,0.12,0.0,0.0,0.01,0.13
323,Pneuma: Breath of Life,63,17,6.8,58.0,E,"['Sci-Fi', ' Adventure', ' 3D', ' First-Person']","Feb 27, 2015",,,0.0,0.0,0.0,0.0,0.0
324,NBA Live 14,36,14,3.1,89.0,E,"['Arcade', ' Sports', ' Traditional', ' Team', ' Basketball', ' Arcade']","Nov 19, 2013",2013.0,EA Sports,0.19,0.02,0.0,0.02,0.24
325,FRU,84,24,6.8,37.0,E,"['Miscellaneous', ' Puzzle', ' Action']","Jul 13, 2016",,,0.0,0.0,0.0,0.0,0.0
326,Fantasia: Music Evolved,77,48,7.5,70.0,E10+,"['Music', ' Action', ' Miscellaneous', ' Rhythm', ' Music']","Oct 21, 2014",2014.0,Disney Interactive Studios,0.14,0.03,0.0,0.02,0.19
327,The Surge,74,17,7.1,72.0,M,"['Role-Playing', ' Action RPG']","May 16, 2017",2017.0,Koch Media,0.07,0.04,0.0,0.01,0.12
328,Mount & Blade: Warband,59,10,7.8,40.0,T,"['Role-Playing', ' Western-Style']","Sep 16, 2016",2016.0,Koch Media,0.0,0.0,0.0,0.0,0.0
